condition_id,category,liquidity_tier,strategy,side,entry_price,stake,fee,outcome_yes_won,pnl
0xecfa8e8a51a7961761be09355bacc9aa3210bf80236da3a3e79bc06e9c794462,earnings,5-15K,S1,NO,0.9,50.0,1.0,1,-51.0
0x4e19bb2282fc34f3ad60595f53dbc49bdce2fae8855ed960d2fdd1749b042c60,earnings,5-15K,S1,NO,0.925,50.0,1.0,1,-51.0
0xb7ad64e3807a2715e3a68d9b4d2173e427ef68b77ce29ce1a0c9f46db87e5f5c,earnings,5-15K,S1,NO,0.865,50.0,1.0,1,-51.0
0xc0cf08310a9fa92e82a482249662e5088e01d77aba3dc48cf0cbc211f9293a4c,earnings,5-15K,S1,NO,0.89,50.0,1.0,0,403.5454545454546
0xeccac2fb9981c6702515b1d7a58f4482917c16c68d831321f683351b930f3fe5,earnings,5-15K,S1,NO,0.86,50.0,1.0,1,-51.0
0x2d808f639bc283667e027a3f6f41a6c5d694841ab380922458d6a26b13c9c467,earnings,5-15K,S1,NO,0.91,50.0,1.0,1,-51.0
0x0812be9adc5030e38f7b5fbcd227beeea3b07a0fedccc7f69c0cff039d22c5e1,earnings,5-15K,S1,NO,0.87,50.0,1.0,1,-51.0
0x050863f2237eea3ac0b227d3c3e645fa839820de4da4f8bfba0f9c65e1e1eb22,earnings,5-15K,S1,NO,0.89,50.0,1.0,1,-51.0
0x62214a6ea3f07b771f70fd173b587b369793880af3b7cb51b7f50dd3f9a94b7b,earnings,5-15K,S1,NO,0.885,50.0,1.0,1,-51.0
0x9094e56a0f9730656d72ea0884d507ff691c898fd10cea1f8e83273b94b4f386,earnings,5-15K,S1,NO,0.86,50.0,1.0,1,-51.0
0x7157b77baab9207cdfd67c1eab3fc67d4918a54c5fd94adb304d016e83752173,earnings,5-15K,S1,NO,0.875,50.0,1.0,1,-51.0
0xf924776e2939fc431529ab280882fcfcc8c04ddd0901bf89396507becf94b2d2,earnings,5-15K,S1,YES,0.02,50.0,1.0,0,-51.0
0x71573c097b3b0be64ff26c940174f4795e1a5467315d8d3645ddb37f2d8830ce,earnings,5-15K,S1,NO,0.88,50.0,1.0,1,-51.0
0xd4077aa5398c80f55799aa06b50497bdbafaafd589286f73ab3b561ffe2b593d,earnings,5-15K,S1,NO,0.925,50.0,1.0,1,-51.0
0x7a677d53c7b8fb14305f21faf9735b912e47655a15abc9db99f58db929103bbd,earnings,5-15K,S1,NO,0.915,50.0,1.0,1,-51.0
