ticker,sector,end_date,pm_side,polymarket_implied_p_beat,outcome_beat,stock_return,pm_pnl,hedge_ratio,stock_pnl,pnl
INTC,Semis,2025-10-23 21:00:00+00:00,YES,0.755,1,0.03779534118313291,79.87582781456956,0.0,0.0,79.87582781456956
COUR,Other,2025-10-23 21:00:00+00:00,YES,0.65,1,-0.13747646458379525,133.36538461538458,0.0,0.0,133.36538461538458
SSNC,Other,2025-10-23 21:00:00+00:00,YES,0.845,1,0.04988317147336065,44.60798816568049,0.0,0.0,44.60798816568049
SAM,Other,2025-10-23 21:00:00+00:00,YES,0.63,1,0.03394683534244778,145.5753968253968,0.0,0.0,145.5753968253968
GD,Other,2025-10-24 13:00:00+00:00,YES,0.505,1,0.03839266367673133,243.79950495049505,0.0,0.0,243.79950495049505
PG,Staples,2025-10-24 13:00:00+00:00,YES,0.61,1,0.00779000348697157,158.5860655737705,0.0,0.0,158.5860655737705
F,AutoEV,2025-10-24 21:00:00+00:00,YES,0.64,1,0.05573240532429719,139.375,0.0,0.0,139.375
CFLT,Other,2025-10-27 21:00:00+00:00,YES,0.655,1,0.037280719733011336,130.42938931297707,0.0,0.0,130.42938931297707
BBBY,Other,2025-10-27 21:00:00+00:00,NO,0.475,1,-0.04434073838653879,-251.25,0.0,0.0,-251.25
SYY,Other,2025-10-28 13:00:00+00:00,YES,0.5,1,-0.03425989571142623,248.75,0.0,0.0,248.75
ARCC,Other,2025-10-28 13:00:00+00:00,NO,0.345,0,0.003486072788137105,130.42938931297707,0.0,0.0,130.42938931297707
MSCI,Other,2025-10-28 13:00:00+00:00,YES,0.795,1,0.07532880627724373,63.21540880503143,0.0,0.0,63.21540880503143
UPS,Industrials,2025-10-28 13:00:00+00:00,YES,0.665,1,0.0898876424771841,124.68984962406013,0.0,0.0,124.68984962406013
IVZ,Other,2025-10-28 13:00:00+00:00,YES,0.695,1,0.020869459027316874,108.46223021582738,0.0,0.0,108.46223021582738
LH,Other,2025-10-28 13:00:00+00:00,YES,0.82,1,-0.09717692606738253,53.628048780487795,0.0,0.0,53.628048780487795
UNH,Other,2025-10-28 13:00:00+00:00,NO,0.475,1,-0.048965467938418765,-251.25,0.0,0.0,-251.25
RCL,Other,2025-10-28 13:00:00+00:00,YES,0.815,1,-0.10086906696538665,55.49846625766872,0.0,0.0,55.49846625766872
PYPL,Other,2025-10-28 13:00:00+00:00,YES,0.825,1,-0.02637237431951436,51.78030303030304,0.0,0.0,51.78030303030304
PIPR,Other,2025-10-28 13:00:00+00:00,YES,0.73,1,-0.06390403388483239,91.21575342465752,0.0,0.0,91.21575342465752
SOFI,Other,2025-10-28 13:00:00+00:00,YES,0.885,1,0.0006894332163348202,31.235875706214692,0.0,0.0,31.235875706214692
JBLU,Other,2025-10-28 13:00:00+00:00,YES,0.765,1,-0.09628009643170352,75.54738562091504,0.0,0.0,75.54738562091504
BKNG,Consumer,2025-10-28 21:00:00+00:00,YES,0.73,1,-0.012815448152489556,91.21575342465752,0.0,0.0,91.21575342465752
CSGP,Other,2025-10-28 21:00:00+00:00,YES,0.595,0,-0.10591860398828586,-251.25,0.0,0.0,-251.25
EA,Other,2025-10-28 21:00:00+00:00,YES,0.765,1,-0.004580774979134182,75.54738562091504,0.0,0.0,75.54738562091504
KHC,Other,2025-10-29 13:00:00+00:00,YES,0.78,1,-0.020594017225727092,69.26282051282048,0.0,0.0,69.26282051282048
CAT,Industrials,2025-10-29 13:00:00+00:00,NO,0.49,1,0.10431767337020638,-251.25,0.0,0.0,-251.25
CVS,Other,2025-10-29 13:00:00+00:00,YES,0.785,1,-0.046137003603663164,67.22133757961782,0.0,0.0,67.22133757961782
ETSY,Other,2025-10-29 13:00:00+00:00,NO,0.425,1,-0.1610284341024224,-251.25,0.0,0.0,-251.25
GRMN,Other,2025-10-29 13:00:00+00:00,YES,0.87,1,-0.14577759995646475,36.106321839080444,0.0,0.0,36.106321839080444
OTLY,Other,2025-10-29 13:00:00+00:00,YES,0.725,0,0.009590768237694659,-251.25,0.0,0.0,-251.25
PAG,Other,2025-10-29 13:00:00+00:00,YES,0.695,0,-0.028524575458106095,-251.25,0.0,0.0,-251.25
BA,Industrials,2025-10-29 13:00:00+00:00,NO,0.375,0,-0.0918454993018938,148.75000000000003,0.0,0.0,148.75000000000003
VZ,Other,2025-10-29 13:00:00+00:00,YES,0.77,0,0.023699244824276027,-251.25,0.0,0.0,-251.25
EVR,Other,2025-10-29 13:00:00+00:00,YES,0.865,1,-0.09153718527848086,37.76734104046245,0.0,0.0,37.76734104046245
OTIS,Other,2025-10-29 13:00:00+00:00,YES,0.695,1,0.008809190372320776,108.46223021582738,0.0,0.0,108.46223021582738
VIRT,Other,2025-10-29 13:00:00+00:00,YES,0.745,1,0.038450096100774676,84.32046979865774,0.0,0.0,84.32046979865774
CVNA,Other,2025-10-29 21:00:00+00:00,YES,0.835,0,-0.12716401511906114,-251.25,0.0,0.0,-251.25
EBAY,Other,2025-10-29 21:00:00+00:00,YES,0.88,1,-0.16347745048272325,32.840909090909115,0.0,0.0,32.840909090909115
TDOC,Other,2025-10-29 21:00:00+00:00,YES,0.505,0,-0.08773783513309956,-251.25,0.0,0.0,-251.25
CMG,Consumer,2025-10-29 21:00:00+00:00,YES,0.735,0,-0.2306384658748507,-251.25,0.0,0.0,-251.25
MSFT,BigTech,2025-10-29 21:00:00+00:00,YES,0.78,1,-0.011076984303489284,69.26282051282048,0.0,0.0,69.26282051282048
META,BigTech,2025-10-29 21:00:00+00:00,YES,0.825,0,-0.12190533946416902,-251.25,0.0,0.0,-251.25
SBUX,Consumer,2025-10-29 21:00:00+00:00,NO,0.415,0,-0.060634152371499814,176.1004273504274,0.0,0.0,176.1004273504274
MGM,Other,2025-10-29 21:00:00+00:00,YES,0.825,0,-0.02377331793192492,-251.25,0.0,0.0,-251.25
GOOGL,BigTech,2025-10-29 21:00:00+00:00,YES,0.755,1,0.08183276595569575,79.87582781456956,0.0,0.0,79.87582781456956
WAY,Other,2025-10-29 21:00:00+00:00,YES,0.755,1,-0.08006165380678779,79.87582781456956,0.0,0.0,79.87582781456956
RBLX,Other,2025-10-30 13:00:00+00:00,YES,0.845,1,-0.16211379049371188,44.60798816568049,0.0,0.0,44.60798816568049
HGV,Other,2025-10-30 13:00:00+00:00,NO,0.33,0,-0.08263920530538943,121.88432835820898,0.0,0.0,121.88432835820898
TW,Other,2025-10-30 13:00:00+00:00,YES,0.64,1,-0.04105976695858742,139.375,0.0,0.0,139.375
ICE,Other,2025-10-30 13:00:00+00:00,YES,0.835,1,-0.08915151928487516,48.15119760479045,0.0,0.0,48.15119760479045
SHAK,Other,2025-10-30 13:00:00+00:00,YES,0.655,1,0.0019282304029783325,130.42938931297707,0.0,0.0,130.42938931297707
SPGI,Other,2025-10-30 13:00:00+00:00,YES,0.85,1,0.000765043846386453,42.867647058823536,0.0,0.0,42.867647058823536
MA,Other,2025-10-30 13:00:00+00:00,YES,0.865,1,-0.049426911260414375,37.76734104046245,0.0,0.0,37.76734104046245
FOXA,Other,2025-10-30 13:00:00+00:00,YES,0.84,1,0.038354808332945946,46.36904761904761,0.0,0.0,46.36904761904761
LLY,Pharma,2025-10-30 13:00:00+00:00,YES,0.805,1,0.08484908742845072,59.3090062111801,0.0,0.0,59.3090062111801
BUD,Other,2025-10-30 13:00:00+00:00,YES,0.845,1,-0.007788407170491835,44.60798816568049,0.0,0.0,44.60798816568049
AMP,Other,2025-10-30 13:00:00+00:00,NO,0.475,1,-0.06654568811475733,-251.25,0.0,0.0,-251.25
EL,Other,2025-10-30 13:00:00+00:00,YES,0.77,1,-0.07176991050965732,73.42532467532467,0.0,0.0,73.42532467532467
MSTR,Other,2025-10-30 21:00:00+00:00,NO,0.33,0,-0.10472547083761218,121.88432835820898,0.0,0.0,121.88432835820898
AMZN,BigTech,2025-10-30 21:00:00+00:00,YES,0.815,1,0.11909062269869401,55.49846625766872,0.0,0.0,55.49846625766872
ROKU,Other,2025-10-30 21:00:00+00:00,YES,0.85,1,0.09938265294461714,42.867647058823536,0.0,0.0,42.867647058823536
AAPL,BigTech,2025-10-30 21:00:00+00:00,YES,0.84,1,0.0008927831071650252,46.36904761904761,0.0,0.0,46.36904761904761
RDDT,Other,2025-10-30 21:00:00+00:00,YES,0.825,1,-0.06504291830110215,51.78030303030304,0.0,0.0,51.78030303030304
XOM,Energy,2025-10-31 00:00:00+00:00,YES,0.7625,1,-0.018802836703513716,76.61885245901642,0.0,0.0,76.61885245901642
CBOE,Other,2025-10-31 13:00:00+00:00,YES,0.8,1,0.03517379604042543,61.25,0.0,0.0,61.25
CL,Staples,2025-10-31 13:00:00+00:00,YES,0.82,1,-0.02800089473739017,53.628048780487795,0.0,0.0,53.628048780487795
CVX,Energy,2025-10-31 13:00:00+00:00,YES,0.68,1,-0.000584065681410467,116.39705882352938,0.0,0.0,116.39705882352938
HESM,Other,2025-11-03 14:00:00+00:00,YES,0.63,1,-0.004123636775231502,145.5753968253968,0.0,0.0,145.5753968253968
ARES,Other,2025-11-03 14:00:00+00:00,YES,0.505,1,0.030529275366748775,243.79950495049505,0.0,0.0,243.79950495049505
IART,Other,2025-11-03 14:00:00+00:00,YES,0.9995,1,-0.050791057346079416,-1.1249374687344038,0.0,0.0,-1.1249374687344038
GTM,Other,2025-11-03 22:00:00+00:00,YES,0.79,1,0.0,65.20569620253161,0.0,0.0,65.20569620253161
CLX,Other,2025-11-03 22:00:00+00:00,YES,0.785,1,-0.03147785813956545,67.22133757961782,0.0,0.0,67.22133757961782
HIMS,Other,2025-11-03 22:00:00+00:00,YES,0.69,0,-0.03805542404481103,-251.25,0.0,0.0,-251.25
COIN,Other,2025-11-03 22:00:00+00:00,YES,0.9995,1,-0.07120836311958927,-1.1249374687344038,0.0,0.0,-1.1249374687344038
WMB,Other,2025-11-03 22:00:00+00:00,YES,0.65,0,-0.005702380762712171,-251.25,0.0,0.0,-251.25
PLTR,Other,2025-11-03 22:00:00+00:00,YES,0.825,1,-0.0627026849288041,51.78030303030304,0.0,0.0,51.78030303030304
CBT,Other,2025-11-03 22:00:00+00:00,YES,0.655,1,-0.1038826270531691,130.42938931297707,0.0,0.0,130.42938931297707
GRAB,Other,2025-11-03 22:00:00+00:00,YES,0.605,0,-0.06156411785446454,-251.25,0.0,0.0,-251.25
HOG,Other,2025-11-04 13:00:00+00:00,NO,0.3,1,-0.06819861613659427,-251.25,0.0,0.0,-251.25
PJT,Other,2025-11-04 14:00:00+00:00,YES,0.93,1,0.04444176503748272,17.56720430107525,0.0,0.0,17.56720430107525
MAR,Other,2025-11-04 14:00:00+00:00,YES,0.805,1,0.07890107041437155,59.3090062111801,0.0,0.0,59.3090062111801
HTZ,Other,2025-11-04 14:00:00+00:00,NO,0.29,1,0.20565298339249646,-251.25,0.0,0.0,-251.25
WING,Other,2025-11-04 14:00:00+00:00,YES,0.88,1,0.12911419472832228,32.840909090909115,0.0,0.0,32.840909090909115
SHOP,Other,2025-11-04 14:00:00+00:00,YES,0.915,0,-0.10243872941487468,-251.25,0.0,0.0,-251.25
SSTK,Other,2025-11-04 14:00:00+00:00,YES,0.55,0,-0.12225329240879326,-251.25,0.0,0.0,-251.25
PFE,Pharma,2025-11-04 14:00:00+00:00,NO,0.36,0,0.008113628912718806,139.375,0.0,0.0,139.375
UBER,Other,2025-11-04 14:00:00+00:00,YES,0.89,1,-0.04538857257427932,29.648876404494402,0.0,0.0,29.648876404494402
APO,Other,2025-11-04 14:00:00+00:00,YES,0.715,1,0.037567342942974306,98.4003496503497,0.0,0.0,98.4003496503497
MPC,Other,2025-11-04 14:00:00+00:00,YES,0.79,1,-0.011235898193393584,65.20569620253161,0.0,0.0,65.20569620253161
BYND,Other,2025-11-04 22:00:00+00:00,NO,0.355,0,-0.2809667203672712,136.34689922480618,0.0,0.0,136.34689922480618
TOST,Other,2025-11-04 22:00:00+00:00,YES,0.685,1,0.006640887728834341,113.71350364963503,0.0,0.0,113.71350364963503
LYV,Other,2025-11-04 22:00:00+00:00,NO,0.325,0,-0.07864638937229874,119.12037037037035,0.0,0.0,119.12037037037035
PINS,Other,2025-11-04 22:00:00+00:00,NO,0.455,0,-0.20604223872722333,207.4655963302753,0.0,0.0,207.4655963302753
CGBD,Other,2025-11-04 22:00:00+00:00,NO,0.22,0,-0.0561708760446048,69.26282051282048,0.0,0.0,69.26282051282048
AMD,Semis,2025-11-04 22:00:00+00:00,YES,0.9785,1,-0.07191940699716654,4.243101686254443,0.0,0.0,4.243101686254443
RIVN,AutoEV,2025-11-04 22:00:00+00:00,NO,0.49,0,0.12159179140099173,238.94607843137254,0.0,0.0,238.94607843137254
CRSP,Other,2025-11-04 22:00:00+00:00,YES,0.625,1,-0.11533053406058388,148.75000000000003,0.0,0.0,148.75000000000003
HNGE,Other,2025-11-04 22:00:00+00:00,YES,0.745,1,-0.1149517202361034,84.32046979865774,0.0,0.0,84.32046979865774
HUM,Other,2025-11-05 14:00:00+00:00,YES,0.845,1,-0.09400061314079547,44.60798816568049,0.0,0.0,44.60798816568049
NYT,Other,2025-11-05 14:00:00+00:00,YES,0.895,1,0.0765046569052653,28.07960893854747,0.0,0.0,28.07960893854747
SUN,Other,2025-11-05 14:00:00+00:00,NO,0.355,0,-0.027192739753698424,136.34689922480618,0.0,0.0,136.34689922480618
FIS,Other,2025-11-05 14:00:00+00:00,YES,0.855,1,0.03614842606438298,41.14766081871343,0.0,0.0,41.14766081871343
FTDR,Other,2025-11-05 14:00:00+00:00,YES,0.915,1,-0.2410056008231431,21.974043715846964,0.0,0.0,21.974043715846964
CRL,Other,2025-11-05 14:00:00+00:00,YES,0.855,1,-0.06675183974874138,41.14766081871343,0.0,0.0,41.14766081871343
MCD,Consumer,2025-11-05 14:00:00+00:00,YES,0.71,0,0.0041215013764372525,-251.25,0.0,0.0,-251.25
SONO,Other,2025-11-05 14:00:00+00:00,YES,0.53,0,-0.051252134936305996,-251.25,0.0,0.0,-251.25
IEP,Other,2025-11-05 14:00:00+00:00,NO,0.32,1,0.0980148176520449,-251.25,0.0,0.0,-251.25
CHYM,Other,2025-11-05 22:00:00+00:00,YES,0.59,1,0.18462434841049652,172.47881355932208,0.0,0.0,172.47881355932208
HUBS,Other,2025-11-05 22:00:00+00:00,YES,0.845,1,-0.1901122478827314,44.60798816568049,0.0,0.0,44.60798816568049
AMC,Other,2025-11-05 22:00:00+00:00,YES,0.64,1,-0.06949800552265818,139.375,0.0,0.0,139.375
ALL,Other,2025-11-05 22:00:00+00:00,YES,0.9,1,0.056234260893868994,26.52777777777779,0.0,0.0,26.52777777777779
BMBL,Other,2025-11-05 22:00:00+00:00,NO,0.26,0,-0.23153158199785998,86.58783783783782,0.0,0.0,86.58783783783782
FSK,Other,2025-11-05 22:00:00+00:00,NO,0.245,1,0.009277663605698776,-251.25,0.0,0.0,-251.25
LYFT,Other,2025-11-05 22:00:00+00:00,YES,0.865,1,0.0772239443673177,37.76734104046245,0.0,0.0,37.76734104046245
